,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,match_id,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,team_name,opp_name,scheduled,is_home,match_id,points,goals
60,60.0,0.5304481823010874,0.26913764947272234,0.20041416822619024,0.0,0.0,0.0,1.0,1.0,0.0,0.0,129.0,FC Nantes,1.0,3.0,0.0,2016-11-19 19:00:00,Paris St Germain,Lille OSC,Olympique Lyon,2016-11-19 19:00:00,1,130.0,0.0,0.0
61,61.0,0.1481265032058824,0.3047384802325788,0.5471350165615387,0.0,0.0,1.0,0.0,1.0,3.0,3.0,129.0,Paris St Germain,0.0,3.0,1.0,2016-11-19 19:00:00,FC Nantes,OGC Nice,AS Saint Etienne,2016-11-19 19:00:00,0,124.0,3.0,1.0
62,,,,,,,,,,,,,,,,,,,SM Caen,Olympique Marseille,2016-11-19 19:00:00,0,125.0,0.0,0.0
63,,,,,,,,,,,,,,,,,,,SCO Angers,Stade Rennes,2016-11-19 19:00:00,0,126.0,1.0,1.0
64,,,,,,,,,,,,,,,,,,,Montpellier HSC,SC Bastia,2016-11-19 19:00:00,0,121.0,1.0,1.0
65,,,,,,,,,,,,,,,,,,,AS Saint Etienne,OGC Nice,2016-11-19 19:00:00,1,124.0,0.0,0.0
66,,,,,,,,,,,,,,,,,,,FC Lorient,AS Monaco,2016-11-19 19:00:00,1,127.0,0.0,0.0
67,,,,,,,,,,,,,,,,,,,Olympique Lyon,Lille OSC,2016-11-19 19:00:00,0,130.0,3.0,1.0
68,,,,,,,,,,,,,,,,,,,Dijon FCO,AS Nancy,2016-11-19 19:00:00,0,123.0,0.0,0.0
69,,,,,,,,,,,,,,,,,,,EA Guingamp,FC Girondins Bordeaux,2016-11-19 19:00:00,1,128.0,1.0,1.0
70,,,,,,,,,,,,,,,,,,,SC Bastia,Montpellier HSC,2016-11-19 19:00:00,1,121.0,1.0,1.0
71,,,,,,,,,,,,,,,,,,,Toulouse FC,FC Metz,2016-11-19 19:00:00,1,122.0,0.0,1.0
72,,,,,,,,,,,,,,,,,,,FC Girondins Bordeaux,EA Guingamp,2016-11-19 19:00:00,0,128.0,1.0,1.0
73,,,,,,,,,,,,,,,,,,,AS Nancy,Dijon FCO,2016-11-19 19:00:00,1,123.0,3.0,1.0
74,,,,,,,,,,,,,,,,,,,AS Monaco,FC Lorient,2016-11-19 19:00:00,0,127.0,3.0,3.0
75,,,,,,,,,,,,,,,,,,,Paris St Germain,FC Nantes,2016-11-19 19:00:00,1,129.0,3.0,2.0
76,,,,,,,,,,,,,,,,,,,Stade Rennes,SCO Angers,2016-11-19 19:00:00,1,126.0,1.0,1.0
77,,,,,,,,,,,,,,,,,,,FC Nantes,Paris St Germain,2016-11-19 19:00:00,0,129.0,0.0,0.0
