,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_for,goals_allowed,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_goals_allowed,ratio_of_attacks,0,1,2,SVC,actual
80,63,102,FC Metz,107,Montpellier HSC,0,3,3,0.142857143,0.33333,0.78125,0,1.049822064,0.484745763,0.98880597,7,0.40754717,1.13320654,0.846451579,0.012873157,0,3
81,63,107,Montpellier HSC,102,FC Metz,1,3,7,0.142857143,0.33333,0.903225806,0,1.120833333,0.624535316,1.028571429,3,0.548611111,0.622223002,0.010389384,-0.987382387,0,0
82,68,103,Lille OSC,108,AS Saint Etienne,0,2,7,0.090909091,0.33333,0.962962963,0.66666,1.162629758,0.571428571,1.218867925,1,0.501547988,1.684096186,1.28485363,-0.442443218,0,0
83,68,108,AS Saint Etienne,103,Lille OSC,1,2,1,0.111111111,0,0.65,0.33333,1.040650407,0.43359375,0.896797153,7,0.436507937,0.256853569,-0.685291262,-0.966299947,3,3
84,69,104,OGC Nice,116,AS Nancy,0,8,3,0.363636364,1,0.958333333,1,1.030821918,0.378737542,0.883161512,1,0.439688716,-0.752622105,-0.711646965,-0.420779068,3,3
85,69,116,AS Nancy,104,OGC Nice,1,3,1,0.1875,0,0.90625,0,1.156862745,0.481355932,0.980263158,3,0.352348993,0.095596923,0.211486866,0.156585438,0,0
86,66,105,SM Caen,115,FC Girondins Bordeaux,0,1,10,0.045454545,0,0.92,0.66666,0.98880597,0.40754717,1.164609054,2,0.448763251,0.878089688,0.721345126,-0.531025286,0,1
87,66,115,FC Girondins Bordeaux,105,SM Caen,1,6,2,0.2,1,0.655172414,0,1.032258065,0.508928571,1.120833333,10,0.624535316,-0.04465659,-1.117319205,-0.977527381,3,1
88,65,106,SCO Angers,117,AS Monaco,0,6,2,0.272727273,0.66666,0.666666667,0.66666,0.883161512,0.439688716,1.032258065,5,0.508928571,0.461216712,0.609959449,0.554611633,0,0
89,65,117,AS Monaco,106,SCO Angers,1,7,5,0.24137931,1,0.888888889,1,1.164609054,0.448763251,1.156862745,2,0.481355932,-1.158650886,-0.955315566,-0.405021754,3,3
90,62,109,FC Lorient,110,Olympique Lyon,1,1,3,0.058823529,0,0.84,0.33333,1.028571429,0.548611111,1.110091743,4,0.47107438,-0.931900706,-0.95163001,-0.52492092,3,3
91,62,110,Olympique Lyon,109,FC Lorient,0,6,4,0.1875,1,0.842105263,1,0.866666667,0.558704453,1.049822064,3,0.484745763,0.269111534,0.735679821,0.449958428,0,0
92,67,111,Dijon FCO,119,Stade Rennes,1,1,6,0.05,0,0.791666667,0.33333,1.033457249,0.410071942,1.023346304,5,0.52851711,-0.692414885,-0.836333791,-0.698797239,3,3
93,67,119,Stade Rennes,111,Dijon FCO,0,5,5,0.238095238,0.33333,0.714285714,0.33333,1.059800664,0.460815047,0.969604863,6,0.420062696,0.5108045,0.810908549,1.029467769,0,0
94,64,112,EA Guingamp,113,SC Bastia,0,3,3,0.115384615,0.66666,0.894736842,1,0.980263158,0.352348993,0.866666667,2,0.558704453,1.061570406,0.786131527,0.193467646,0,0
95,64,113,SC Bastia,112,EA Guingamp,1,2,2,0.1,0.33333,0.857142857,0.66666,1.110091743,0.47107438,1.030821918,3,0.378737542,-0.357849567,-0.470175398,-0.039621962,3,3
96,61,114,Toulouse FC,118,Paris St Germain,1,5,4,0.217391304,0.66666,0.95,1,1.023346304,0.52851711,1.040650407,1,0.43359375,0.069690698,-1.057559834,-1.262131583,3,3
97,61,118,Paris St Germain,114,Toulouse FC,0,10,1,0.322580645,1,0.833333333,0.33333,1.218867925,0.501547988,1.059800664,4,0.460815047,-0.340778374,-0.039922828,0.115749655,1,0
