,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
62,5,9/20/16 20:00,42,85,Sevilla FC,91,Real Betis Balompie,1,2,3,0.136363636,0.33333,0.897435897,0,4,0.978354978,0.57079646,0,1,0.941176471,0.595833333,3,3,-1.233262018,-0.738656189,0.3770949
68,5,9/20/16 20:00,42,91,Real Betis Balompie,85,Sevilla FC,0,4,5,0.128205128,1,0.9,1,2,1.01754386,0.556034483,0,1,1.064516129,0.616161616,0,0,0.86522587,0.782911595,0.321665757
63,5,9/22/16 18:00,49,86,Deportivo La Coruna,97,CD Leganes,1,1,0,0,0.66666,0.730769231,0.33333,7,1.047021944,0.54491018,0,1,1.013793103,0.571428571,0,3,-1.021863938,-1.216712652,-1.382944783
74,5,9/22/16 18:00,49,97,CD Leganes,86,Deportivo La Coruna,0,7,2,0.086956522,0.33333,0.958333333,0.66666,1,0.94921875,0.530864198,0,3,1.030888031,0.404494382,3,0,1.409463511,2.006805421,-0.322514263
64,5,9/20/16 18:00,41,87,Malaga CF,99,SD Eibar,1,5,2,0.076923077,0.33333,0.933333333,0.66666,2,0.941176471,0.595833333,0,1,1.141025641,0.63670412,3,3,-0.382455346,-0.14286828,-0.516549674
76,5,9/20/16 18:00,41,99,SD Eibar,87,Malaga CF,0,2,4,0.166666667,0.66666,0.782608696,0.66666,5,0.89010989,0.514403292,0,0,1.01754386,0.556034483,0,0,0.921930349,0.399555565,0.106721303
65,5,9/21/16 18:00,44,88,Celta de Vigo,98,Sporting Gijon,1,6,1,0.045454545,0,0.818181818,0,6,1.050505051,0.516025641,0,0,1.077441077,0.425,3,3,-2.33363714,-0.791612794,-0.936884688
75,5,9/21/16 18:00,44,98,Sporting Gijon,88,Celta de Vigo,0,6,2,0.105263158,0,0.846153846,0,6,1.024291498,0.517786561,0,0,1.03358209,0.346570397,0,1,-0.515910046,0.845146684,1.181903885
66,5,9/21/16 20:00,45,89,Real Sociedad,96,Las Palmas UD,1,3,4,0.235294118,0.33333,0.884615385,0.66666,3,1.141025641,0.63670412,0,0,1.213286713,0.538904899,3,3,-1.371571308,-1.057684994,0.13993292
73,5,9/21/16 20:00,45,96,Las Palmas UD,89,Real Sociedad,0,3,7,0.28,0.66666,0.8125,1,3,1.019011407,0.46641791,0,3,0.89010989,0.514403292,0,1,0.030459984,1.39826499,0.990554687
