,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,rpi,opp_rpi,goals,points,offensive_ranking,opp_defensive_ranking
61,47.0,84,Athletic Bilbao,81.0,Granada CF,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,3,2,4,9,0.130434782609,0.735294117647,0.540229885057,0.616161616162,1.10126582278,1.06451612903,0.334441489362,0.466279069767,0,0,0.33333,0.0
62,42.0,85,Sevilla FC,91.0,Real Betis Balompie,2016-09-20 20:00:00,5,3.0,1,4-2-3-1,3,2,5,4,0.136363636364,0.897435897436,0.595833333333,0.570796460177,0.941176470588,0.978354978355,0.644241417497,0.419682017544,0,0,0.33333,0.0
63,49.0,86,Deportivo La Coruna,97.0,CD Leganes,2016-09-22 18:00:00,5,3.0,1,4-4-2,0,1,2,7,0.0,0.730769230769,0.571428571429,0.544910179641,1.01379310345,1.04702194357,0.546875,0.50765544647,0,0,0.66666,0.33333
64,41.0,87,Malaga CF,99.0,SD Eibar,2016-09-20 18:00:00,5,3.0,1,4-2-3-1,2,5,4,2,0.0769230769231,0.933333333333,0.63670411985,0.595833333333,1.14102564103,0.941176470588,0.454545454545,0.524071807426,0,0,0.33333,0.66666
65,44.0,88,Celta de Vigo,98.0,Sporting Gijon,2016-09-21 18:00:00,5,3.0,1,4-2-3-1,1,6,2,6,0.0454545454545,0.818181818182,0.425,0.516025641026,1.07744107744,1.05050505051,0.267045454545,0.498710390567,0,0,0.0,0.0
66,45.0,89,Real Sociedad,96.0,Las Palmas UD,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,4,3,7,3,0.235294117647,0.884615384615,0.538904899135,0.63670411985,1.21328671329,1.14102564103,0.67196969697,0.472309299896,0,0,0.33333,0.66666
67,43.0,90,Real Madrid,93.0,Villarreal CF,2016-09-21 18:00:00,5,3.0,1,4-1-4-1,9,3,4,1,0.18,0.947368421053,0.627530364372,0.538904899135,1.04219409283,1.21328671329,0.548295454545,0.539772727273,0,0,1.0,1.0
68,42.0,91,Real Betis Balompie,85.0,Sevilla FC,2016-09-20 20:00:00,5,3.0,0,4-3-3,5,4,3,2,0.128205128205,0.9,0.616161616162,0.556034482759,1.06451612903,1.01754385965,0.438347868217,0.631157635468,0,0,1.0,1.0
69,46.0,92,FC Barcelona,100.0,Atletico Madrid,2016-09-21 20:00:00,5,3.0,1,3-4-3,7,3,9,0,0.2,1.0,0.544910179641,0.346570397112,1.04702194357,1.03358208955,0.41847826087,0.491247811953,0,0,1.0,1.0
70,43.0,93,Villarreal CF,90.0,Real Madrid,2016-09-21 18:00:00,5,3.0,0,4-4-2,4,1,9,3,0.166666666667,0.842105263158,0.466417910448,0.497835497835,1.01901140684,0.935222672065,0.600362318841,0.495990734141,0,0,0.66666,1.0
71,48.0,94,CA Osasuna,82.0,Espanyol Barcelona,2016-09-22 18:00:00,5,3.0,1,5-3-2,2,7,3,5,0.117647058824,0.791666666667,0.517786561265,0.627530364372,1.02429149798,1.04219409283,0.289772727273,0.413445417288,0,0,0.0,0.33333
72,50.0,95,Valencia CF,83.0,CD Alaves,2016-09-22 20:00:00,5,3.0,1,4-3-3,3,6,2,1,0.0789473684211,0.969696969697,0.588932806324,0.571428571429,1.04979253112,1.01379310345,0.401041666667,0.563268442623,0,0,1.0,0.33333
73,45.0,96,Las Palmas UD,89.0,Real Sociedad,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,7,3,4,3,0.28,0.8125,0.514403292181,0.466417910448,0.89010989011,1.01901140684,0.398255813953,0.471346106608,0,0,0.66666,1.0
74,49.0,97,CD Leganes,86.0,Deportivo La Coruna,2016-09-22 18:00:00,5,3.0,0,5-3-2,2,7,0,1,0.0869565217391,0.958333333333,0.404494382022,0.530864197531,1.03088803089,0.94921875,0.5,0.561882062147,0,0,0.33333,0.66666
75,44.0,98,Sporting Gijon,88.0,Celta de Vigo,2016-09-21 18:00:00,5,3.0,0,4-2-3-1,2,6,1,6,0.105263157895,0.846153846154,0.346570397112,0.517786561265,1.03358208955,1.02429149798,0.608527131783,0.496212121212,0,0,0.0,0.0
76,41.0,99,SD Eibar,87.0,Malaga CF,2016-09-20 18:00:00,5,3.0,0,4-2-3-1,4,2,2,5,0.166666666667,0.782608695652,0.556034482759,0.514403292181,1.01754385965,0.89010989011,0.72619047619,0.437316225608,0,0,0.66666,0.66666
77,46.0,100,Atletico Madrid,92.0,FC Barcelona,2016-09-21 20:00:00,5,3.0,0,4-4-2,9,0,7,3,0.236842105263,0.88,0.516025641026,0.404494382022,1.05050505051,1.03088803089,0.599637681159,0.592514124294,0,0,1.0,0.66666
78,70.0,101,Olympique Marseille,120.0,FC Nantes,2016-09-25 18:45:00,7,3.0,1,4-2-3-1,4,6,1,4,0.142857142857,0.789473684211,0.410071942446,0.436507936508,1.03345724907,0.896797153025,0.457629768605,0.509094267139,0,0,0.66666,0.66666
79,63.0,102,FC Metz,107.0,Montpellier HSC,2016-09-24 18:00:00,7,3.0,0,4-5-1,3,3,3,7,0.142857142857,0.78125,0.407547169811,0.484745762712,0.988805970149,1.04982206406,0.615942028986,0.497859031947,0,0,0.33333,0.0
80,68.0,103,Lille OSC,108.0,AS Saint Etienne,2016-09-25 13:00:00,7,3.0,0,4-3-3,2,7,2,1,0.0909090909091,0.962962962963,0.501547987616,0.571428571429,1.21886792453,1.16262975779,0.434523809524,0.555600649351,0,0,0.33333,0.66666
81,69.0,104,OGC Nice,116.0,AS Nancy,2016-09-25 15:00:00,7,3.0,0,3-5-2,8,3,3,1,0.363636363636,0.958333333333,0.439688715953,0.378737541528,0.883161512027,1.03082191781,0.671870812115,0.482854684576,0,0,1.0,1.0
82,66.0,105,SM Caen,115.0,FC Girondins Bordeaux,2016-09-24 18:00:00,7,3.0,0,4-1-4-1,1,10,6,2,0.0454545454545,0.92,0.448763250883,0.407547169811,1.1646090535,0.988805970149,0.580555555556,0.587221136623,0,0,0.0,0.66666
83,65.0,106,SCO Angers,117.0,AS Monaco,2016-09-24 18:00:00,7,3.0,0,4-3-3,6,2,7,5,0.272727272727,0.666666666667,0.508928571429,0.439688715953,1.03225806452,0.883161512027,0.460365853659,0.535278745645,0,0,0.66666,0.66666
84,63.0,107,Montpellier HSC,102.0,FC Metz,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,3,7,3,3,0.142857142857,0.903225806452,0.548611111111,0.624535315985,1.02857142857,1.12083333333,0.414285714286,0.469074715487,0,0,0.33333,0.0
85,68.0,108,AS Saint Etienne,103.0,Lille OSC,2016-09-25 13:00:00,7,3.0,1,4-3-3,2,1,2,7,0.111111111111,0.65,0.436507936508,0.43359375,0.896797153025,1.0406504065,0.468560030395,0.396179401993,0,0,0.0,0.33333
86,62.0,109,FC Lorient,110.0,Olympique Lyon,2016-09-24 15:00:00,7,3.0,1,4-3-3,1,3,6,4,0.0588235294118,0.84,0.471074380165,0.548611111111,1.11009174312,1.02857142857,0.434523809524,0.497058823529,0,0,0.0,0.33333
87,62.0,110,Olympique Lyon,109.0,FC Lorient,2016-09-24 15:00:00,7,3.0,0,3-5-2,6,4,1,3,0.1875,0.842105263158,0.484745762712,0.558704453441,1.04982206406,0.866666666667,0.430197444832,0.369788678524,0,0,1.0,1.0
88,67.0,111,Dijon FCO,119.0,Stade Rennes,2016-09-24 18:00:00,7,3.0,1,4-5-1,1,6,5,5,0.05,0.791666666667,0.528517110266,0.410071942446,1.0233463035,1.03345724907,0.534865540963,0.483739837398,0,0,0.0,0.33333
89,64.0,112,EA Guingamp,113.0,SC Bastia,2016-09-24 18:00:00,7,3.0,0,4-4-2,3,3,2,2,0.115384615385,0.894736842105,0.558704453441,0.352348993289,0.866666666667,0.980263157895,0.365079365079,0.54315628192,0,0,0.66666,1.0
90,64.0,113,SC Bastia,112.0,EA Guingamp,2016-09-24 18:00:00,7,3.0,1,4-5-1,2,2,3,3,0.1,0.857142857143,0.378737541528,0.471074380165,1.03082191781,1.11009174312,0.55886627907,0.453718566078,0,0,0.33333,0.66666
91,61.0,114,Toulouse FC,118.0,Paris St Germain,2016-09-23 18:45:00,7,3.0,1,4-4-1-1,5,4,10,1,0.217391304348,0.95,0.43359375,0.528517110266,1.0406504065,1.0233463035,0.321428571429,0.502647003214,0,0,0.66666,1.0
92,66.0,115,FC Girondins Bordeaux,105.0,SM Caen,2016-09-24 18:00:00,7,3.0,1,4-4-2,6,2,1,10,0.2,0.655172413793,0.624535315985,0.508928571429,1.12083333333,1.03225806452,0.520390070922,0.524647369968,0,0,1.0,0.0
93,69.0,116,AS Nancy,104.0,OGC Nice,2016-09-25 15:00:00,7,3.0,1,4-3-3,3,1,8,3,0.1875,0.90625,0.352348993289,0.481355932203,0.980263157895,1.1568627451,0.592329545455,0.549484052533,0,0,0.0,0.0
94,65.0,117,AS Monaco,106.0,SCO Angers,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,7,5,6,2,0.241379310345,0.888888888889,0.481355932203,0.448763250883,1.1568627451,1.1646090535,0.689124899491,0.566598915989,0,0,1.0,1.0
95,61.0,118,Paris St Germain,114.0,Toulouse FC,2016-09-23 18:45:00,7,3.0,0,4-3-3,10,1,5,4,0.322580645161,0.833333333333,0.460815047022,0.501547987616,1.05980066445,1.21886792453,0.494704570792,0.467156862745,0,0,1.0,0.33333
96,67.0,119,Stade Rennes,111.0,Dijon FCO,2016-09-24 18:00:00,7,3.0,0,4-3-3,5,5,1,6,0.238095238095,0.714285714286,0.420062695925,0.460815047022,0.969604863222,1.05980066445,0.419070512821,0.522261705686,0,0,0.33333,0.33333
97,70.0,120,FC Nantes,101.0,Olympique Marseille,2016-09-25 18:45:00,7,3.0,0,4-4-2,1,4,4,6,0.03125,0.785714285714,0.571428571429,0.420062695925,1.16262975779,0.969604863222,0.535917207792,0.482490503324,0,0,0.66666,0.0
